02/18/25 11:40:43: block.scss - Undefined variable $heading_color: block.scss on line 17, at column 3
02/18/25 11:40:43: comments.scss - Undefined variable $divider_color: comments.scss on line 10, at column 9
02/18/25 11:40:43: default.scss - Undefined variable $md_max: default.scss on line 26, at column 5
02/18/25 11:40:43: elementor.scss - Undefined mixin animation: elementor.scss on line 62, at column 9
02/18/25 11:40:43: fonts.scss - Undefined variable $heading_font_family: fonts.scss on line 79, at column 5
02/18/25 11:40:43: footer.scss - Undefined variable $primary_color: footer.scss on line 12, at column 2
02/18/25 11:40:43: forms.scss - Undefined variable $heading_color: forms.scss on line 2, at column 1
02/18/25 11:40:43: functions.scss - Undefined variable $xxl_min: functions.scss on line 154, at column 2
02/18/25 11:40:43: layout.scss - Undefined variable $lg_max: layout.scss on line 7, at column 5
02/18/25 11:40:43: loading.scss - Undefined mixin d-flex: loading.scss on line 42, at column 5
02/18/25 11:40:43: media.scss - Undefined mixin center-block: media.scss on line 26, at column 9
02/18/25 11:40:43: tooltip.scss - Undefined mixin transform: tooltip.scss on line 44, at column 5
02/18/25 11:40:51: block.scss - Undefined variable $heading_color: block.scss on line 17, at column 3
02/18/25 11:40:51: comments.scss - Undefined variable $divider_color: comments.scss on line 10, at column 9
02/18/25 11:40:51: default.scss - Undefined variable $md_max: default.scss on line 26, at column 5
02/18/25 11:40:51: elementor.scss - Undefined mixin animation: elementor.scss on line 62, at column 9
02/18/25 11:40:51: fonts.scss - Undefined variable $heading_font_family: fonts.scss on line 79, at column 5
02/18/25 11:40:51: footer.scss - Undefined variable $primary_color: footer.scss on line 12, at column 2
02/18/25 11:40:51: forms.scss - Undefined variable $heading_color: forms.scss on line 2, at column 1
02/18/25 11:40:51: functions.scss - Undefined variable $xxl_min: functions.scss on line 154, at column 2
02/18/25 11:40:51: layout.scss - Undefined variable $lg_max: layout.scss on line 7, at column 5
02/18/25 11:40:51: loading.scss - Undefined mixin d-flex: loading.scss on line 42, at column 5
